,titulo,fecha,texto,periodico
0,Crecen reparos al aval para que privados compren las vacunas,2021-04-21,"
El sector privado cree que es una buena noticia la Resolución 507 que expidió el Ministerio de Salud, que les permite a las empresas comprar vacunas para inmunizar a sus empleados y sus familias, y contribuir así a acelerar la inmunización en el país. Sin embargo, plantearon inquietudes que, de no ser solucionadas, podrían obstaculizar esa buena intención. (Gobierno autoriza compra de vacunas por parte del sector privado). 
Julián Domínguez Rivera, presidente de Confecámaras y del Consejo Gremial Nacional, dijo que “celebramos la decisión del Gobierno de permitir que el sector privado pueda negociar y comprar vacunas para complementar el Plan Nacional de Vacunación”.Agregó que “el interés del sector privado es brindar bienestar a sus colaboradores y familiares, a la par que se continúe con la reactivación de las empresas que han hecho un esfuerzo titánico para perdurar y mantener los empleos que generan”. María Claudia Lacouture, directora de la Cámara de Comercio de Colombo Americana, AmCham Colombia, destacó de la medique da total libertad en temas de negociación y garantías frente a los riesgos, en donde las partes las definirán en sus contratos. Sin embargo, comentó que “el punto más complejo de la resolución estaría en el parágrafo 4 del artículo tercero de la resolución, referente a las responsabilidades, ya que las vacunas aplicadas por las personas de derecho privado que adquieran las vacunas no estarán cobijadas por el régimen excepcional de indemnidad frente a los efectos adversos, establecido en la Ley 2064 de 2020”. Por eso, añadió que “queda pendiente la limitante de lograr los acuerdos entre empresas si tenemos en cuenta que cada parte debe cumplir con los compromisos establecidos en el derecho comercial lo que limitaría a las farmacéuticas extender la indemnidad a los privados, y esto podría demorar las negociaciones para su adquisición”, y que se deberá revisar cómo se fijan límites para productor, comprador, vacunador y vacunado. Observó la importancia de contar con un gran aglutinador que adquiera un volumen importante y que además pueda tener la capacidad logística y operativa para su aplicación, en los términos que plantea la resolución para que sea complementario al Plan de Vacunación. En ese sentido, pidió analizar la propuesta de Asocajas, para que eso lo puedan hacer las cajas de compensación, que tienen infraestructura, personal y experiencia. A su turno, e l presidente de Fenalco, Jaime Alberto Cabal, insistió en el tema normativo que planteó la directora de AmCham. “No queremos demandas provenientes de vacunas que han sido autorizadas por el propio Gobierno y validadas por el Invima”, dijo. “Nos inquieta la fecha de entrar en el proceso. El Gobierno ha dado señales de que podría ser en la etapa 3, en junio. Sin embargo, hay atrasos en las otras dos etapas. Entre más rápido entre a participar el sector privado, más rápido podremos vencer el virus y activar la economía”, agregó. En medio de las opiniones, el laboratorio Pfizer, comunicó ayer que reconoce el papel que pueden tener los privados en la mitigación de la emergencia y que informará cuando las condiciones de suministro estén dadas. Por ahora, dijo, está priorizando sus dosis para atender los acuerdos con los gobiernos y los organismos supranacionales como el mecanismo Covax.RAPPI y TECNOGLASS EXPRESAN INTERÉSUna vez se conoció sobre la nueva norma, empresas empezaron a manifestar disposición de comprar vacunas. Una de ellas fue Rappi. “Iniciamos conversaciones con funcionarios del Gobierno y con actores privados del sector salud de la más alta trayectoria y calidad con el fin de lograr al menos 10.000 vacunas para los repartidores que prestan su servicio a través de nuestra aplicación”, dijo. “Una vez aclaradas las dudas sobre el proceso anunciado, informaremos detalles de este plan que esperamos ejecutar a la mayor brevedad”, señaló. Y Christian Daes, directivo de Tecnoglass, dijo que hará las gestiones para adquirirlas, pero fue claro en que no será fácil cuando un laboratorio puede estar más inclinado en vender al Gobierno que a una empresa, expresó a Caracol Radio.",Portafolio
1,Alistan las cartas para tramitar la reforma tributaria,2021-04-21,"
Mientras los partidos políticos expresan sus posiciones y revisan el proyecto que radicó el Gobierno recientemente de reforma tributaria, las comisiones económicas definen quiénes serán los ponentes y coordinadores de la inicitiva legislativa.(Llamado de urgencia para el trámite de la reforma tributaria). 
Precisamente, este miércoles se conoció que una de las comisiones económicas, la Tercera del Senado, definió como coordinadores a los senadores Rodrigo Villalba Mosquera (Liberal), Ríchard Aguilar Villa (Cambio Radical), Fernando Nicolás Araújo Rumié (Centro Democrático), David Barguil (Conservador) y Germán Darío Hoyos (Partido de la U).(Tributaria encarecería mínimo 5% los productos de la canasta familiar). Asimismo, como ponentes fueron designados los congresistas Efraín Cepeda, del partido Conservador; Gustavo Bolívar (Decentes), Édgar Palacio e Iván Marulanda Gómez, este último de la Alianza Verde.Por otro lado, la designación de estos roles sigue retrasada en las comisiones cuarta del Senado, así como en la tercera y cuarta de la Cámara de Representantes. Uno de los motivos que explican la demora es que, en el caso Senado, la comisión cuarta es presidida por Cambio Radical, al igual que en la tercera.",Portafolio
2,Llega nuevo lote de vacunas para aliviar escasez de dosis en el país,2021-04-21,"
Sobre la 1:26 p.m. de este miércoles 24 de abril llegó a Colombia, procedente de Bruselas, un nuevo lote con 549.900 dosis de la vacuna de Pfizer.
Con este nuevo envío el país completó 5’615.184 de biológicos, informó el presidente Duque en sus redes sociales.Continuamos con nuestro proceso de recepción de vacunas para seguir avanzando en la inmunización de los colombianos. A la 1:26 p.m. llegaron 549.900 dosis de Pfizer, en el vuelo ABX2245, procedente de Bruselas. Con este lote ya completamos 5’615.184 biológicos. #ColombiaSeVacuna pic.twitter.com/4GiLKEtSPC— Iván Duque 🇨🇴 (@IvanDuque) April 21, 2021 La llegada de este lote se da en medio de las denuncias por el retraso en el arribo de vacunas al país, que ha frenado el proceso de vacunación en algunas regiones del país, entre ellas Bogotá. Y es que además de las demoras en llegada de más biológicos, también se ha denunciado que la aplicación de segundas dosis también se encuentra retrasado por cuenta del reducido ingreso de vacunas al país en las últimas semanas. (Por ahora Pfizer no vendería vacunas a los privados). Varias de las principales EPS del régimen contributivo, como Sanitas, Famisanar, Compensar, Salud Total y la Nueva EPS, confirmaron que por escasez de insumos, concretamente de unidades de Sinovac, las citas de primeras y segundas dosis tuvieron que ser canceladas y están a la espera de la llegada de nuevos lotes de este biológico para reprogramar. En algunas de ellas, las de Pfizer, que llegaron hace poco, también estaban agotadas.""En Salud Total se han aplicado cerca de 76.000 dosis en 15 sucursales, sin embargo, debido a que no hay disponibilidad de Sinovac en algunas ciudades hemos tenido que cancelar 2.786 citas para segundas dosis, que posteriormente estaremos reagendando de acuerdo con la disponibilidad de vacunas. Esta cancelación se ha realizado principalmente en ciudades como Bogotá, Santa Marta, Cartagena, Villavicenciao y Montería"", dijo Juan Gonzalo López, presidente de esta EPS.Los retrasos no solo se han registrado en Colombia. Según un reciente informe de Corporate Europe Observatory, las grandes empresas farmacéuticas incumplieron su compromiso con la Unión Europea (UE) de producir y garantizar la distribución de las vacunas contra la covid-19 para que “lleguen a todo el mundo” sin necesidad de tomar “medidas extraordinarias”, afirmó Corporate Europe Observatory (CEO).",Portafolio
3,Muertes diarias por covid en el país se mantienen arriba de 400,2021-04-21,"
El Ministerio de Salud confirmó este miércoles 17.212 nuevos casos de Covid-19, con lo que la cifra de contagios totales de coronavirus en Colombia se elevó a 2.701.313, luego de que en las últimas 24 horas fueran procesadas 50.633 pruebas PCR y 23.480 de antígenos.Por su parte, se reportaron 419 fallecimientos más por covid-19, con lo que la cifra de muertes llegó a 69.596. Además, el número de recuperados ascendió a 2.521.944.Según las autoridades de salud, el número de casos activos se ubicó este miércoles en 100.645.
Hay 1.257 conglomerados en el país. Los territorios son: Amazonas, Antioquia (Ituango), Arauca, Atlántico, Barranquilla, Bogotá, Boyacá, Bolívar, Buenaventura, Caldas, Caquetá, Cartagena, Casanare, Cauca, Cesar, Chocó, Córdoba, Cundinamarca, Huila, La Guajira, Magdalena, Meta, Nariño, Norte de Santander, Putumayo, Quindío, Risaralda, San Andrés, Santa Marta, Santander, Sucre, Tolima, Valle, Vaupés, Vichada, Guaviare y Guainía.",Portafolio
4,Tributaria propone eliminar impuesto a tenedores extranjeros de bonos,2021-04-21,"
Colombia intenta lograr que su mercado de bonos sea más atractivo para los extranjeros mientras busca financiar un déficit fiscal que se ha visto agravado por la pandemia, dijo un alto funcionario del Ministerio de Hacienda.(Lea: Tributaria eliminaría incentivos a los proyectos de renovables)La reforma tributaria enviada al Congreso la semana pasada propone eliminar el impuesto del 5% a los tenedores extranjeros de bonos locales en pesos. Esto ayudará al Gobierno a atraer inversionistas al mercado de deuda local, dijo el viceministro de Hacienda, Juan Pablo Zárate.
Colombia, al igual que muchos otros países, enfrenta ""niveles de deuda muy altos"", señaló Zárate en una entrevista telefónica el martes. ""Necesitamos crear condiciones atractivas para toda clase de financiamiento"". El impuesto de retención en la fuente es uno de los pocos gravámenes que quiere eliminar el Ministerio de Hacienda, en momentos en que aumenta los impuestos sobre la renta, dividendos, servicios públicos y patrimonio. El proyecto de ley está destinado principalmente a recaudar dinero para hacer frente a la creciente deuda y la pobreza masiva causada por meses de confinamientos. El país comenzó a eliminar gradualmente el impuestos de retención en la fuente hace casi una década, cuando era del 33%. Los extranjeros ahora poseen aproximadamente una cuarta parte de la deuda interna del país, frente al 4% antes de que se empezara a reducir.Con una calificación crediticia que actualmente se ubica un nivel por encima del grado basura, el Gobierno debe demostrar un plan creíble para poner sus finanzas en una senda sostenible. Dos agencias califican a Colombia en BBB-, el nivel más bajo de grado de inversión, con una perspectiva negativa. ""Será muy difícil que la economía crezca en los siguientes años"" si los inversionistas locales y extranjeros comienzan a dudar de la capacidad del país para pagar su deuda, dijo Zárate. La reforma tributaria tiene como objetivo recaudar el equivalente a aproximadamente 2% del producto interno bruto por año en promedio hasta 2031, pero es probable que los legisladores diluyan las propuestas del Gobierno. Como mínimo, es necesario aumentar a entre 1,4% y 1,5% del PIB, dijo Zárate. El Gobierno estima que el déficit fiscal de Colombia se ampliará a 9,2% del producto interno bruto este año, frente a 2,5% en 2019, antes de la pandemia. ""Estamos en un problema fiscal complejo, con riesgos para la estabilidad macroeconómica"", señaló Zarate. ""La reforma busca en general generar estabilidad macroeconómica, que es lo más importante para todo, para el crecimiento, el consumo y la inversión"". Bloomberg ",Portafolio
5,Las ofertas de empleo para colombianos en las embajadas en Colombia,2021-04-21,"
Si está buscando empleo puede encontrar vacantes en las embajadas de países como Estados Unidos, Reino Unido, entre otros. Aquí le contamos las ofertas a las que los colombianos pueden aplicar.
ESTADOS UNIDOS​La embajada tiene disponible estas vacantes para colombianos: - Conductor: labora como conductor para la oficina de defensa (DAO), transportando jefes de la oficina, miembros del staff, familiares de americanos y visitantes. Requiere un mínimo de dos años de experiencia como conductor. La vacante está disponible hasta el 21 de abril de 2021. (Conozca cómo aplicar y los requisitos aquí)- Especialista en gestión de proyectos (Gobernanza): se desempeña como un profesional responsable de liderar y administrar iniciativas relacionadas con la gobernanza local dentro de la Oficina de Gobernanza y Consolidación de la Paz de USAID / Colombia. La vacante está disponible hasta el 30 de abril de 2021.(Vea los detalles aquí)- Especialista en gestión de proyectos (Derechos humanos): la Agencia de los Estados Unidos para el Desarrollo Internacional, USAID, está buscando una persona para este puesto. La vacante está disponible hasta el 30 de abril de 2021.(Vea los detalles aquí)- Especialista en gestión de proyectos: esta posición está ubicada en la Oficina de Respuesta e Integración de USAID / Colombia Venezuela (VRIO) y el titular servirá como Especialista en Monitoreo, Evaluación y Aprendizaje para VRIO. La vacante está disponible hasta el 30 de abril de 2021.(Vea los detalles aquí)- Especialista en programas de desarrollo: se requiere una licenciatura en geografía, ingeniería, arquitectura, topografía, cartografía o un campo equivalente. Se requiere una certificación profesional en Sistemas de Información Geográfica (SIG). La vacante está disponible hasta el 7 de mayo de 2021. (Vea los detalles aquí)- Especialista en gestión de proyectos (Asesor de tierras y medios de vida sostenibles): se requiere una licenciatura en desarrollo rural, desarrollo internacional, ciencias políticas, economía, administración pública o equivalente. La vacante está disponible hasta el 7 de mayo de 2021.(Vea los detalles aquí)REINO UNIDO- Coordinador de acceso al mercado: tendrá un papel clave en la coordinación y el seguimiento de los diálogos comerciales y las discusiones sobre políticas comerciales entre el Reino Unido y Colombia. La vacante está disponible hasta el 27 de abril de 2021. (Vea los detalles aquí)- Oficial comercial: el candidato seleccionado contribuirá al crecimiento económico del Reino Unido y al empleo en uno o más sectores. Esto se hará, principalmente, apoyando las exportaciones e inversiones del Reino Unido en Colombia. La vacante está disponible hasta el 3 de mayo de 2021.(Vea los detalles aquí)NORUEGA- Asesor climático y forestal: asesor experimentado para trabajar en estrecha colaboración con nuestro asesor de clima y bosques con asesoría y promoción de políticas, gestión de subvenciones, recopilación de información, análisis y presentación de informes, entre otras. La vacante está disponible hasta el 30 de abril de 2021.(Vea los detalles aquí) OTRAS OPCIONESEmbajadas en Colombia de países como India, Canadá, Francia, Italia, Australia, también ofrecen vacantes laborales para colombianos, pero en este momento no hay disponibles. Puede estar pendiente de sus redes o páginas web para aplicar cuando se abran las ofertas. POLÍTICA / EL TIEMPOSíganos en @PoliticaET",Portafolio
6,Por ahora Pfizer no vendería vacunas a los privados,2021-04-21,"
Luego de la aprobación del decreto 507 por el que el Gobierno permite la adquisición de vacunas contra la covid-19 por parte de privados, la farmacéutica señaló que no tiene previsto venderlas a los privados.(Pro y contras de la resolución que permite a privados comprar vacunas). 
“Para asegurar la equidad en el acceso a su vacuna durante esta etapa de la emergencia global, Pfizer y BioNtech están priorizando sus dosis disponibles para los acuerdos de suministro celebrados con los gobiernos nacionales y organizaciones supranacionales como el mecanismo Covax”, señaló la empresa.(Gobierno autoriza compra de vacunas por parte del sector privado). Si bien la compañía apuntó que reconoce el rol del sector privado en la mitigación del impacto de la pandemia, enfatizó en que “en el contexto actual de emergencia por la pandemia, no está prevista la venta a privados e informará a las partes interesadas una vez se den las condiciones necesarias para ampliar sus opciones de suministro”, agregó.Colombia  que hasta el momento ha recibido 5’615.184  dosis de los laboratorios Pfizer, Sinovac y Astrazeneca recibió hoy 549.900 dosis más de la vacuna de Pfizer.",Portafolio
7,Dólar en Colombia cerró con leves ganancias,2021-04-21,"
El dólar continuó con su tendencia alcista y completó su tercera sesión consecutiva al alza. En la jornada de este miércoles, la divisa subió un peso en la Bolsa de Valores de Colombia y se negoció en un precio promedio de $3.637 pesos, respecto ala TRM definida para hoy en 3.636 pesos.
",Portafolio
8,"
Las empresas más innovadoras del mundo para este 2021",2021-04-21,"

Un estudio de Boston Consulting Group (BCG), consultora dedicada a la asesoría en estrategias de negocios, reveló cuáles son las empresas más innovadoras a nivel mundial.BCG indica que la innovación requiere de tres condiciones: hacer de la innovación una prioridad en sí misma, comprometerse a invertir y estar listos para transformar la inversión en resultados.(Lea también: Empresarios extranjeros buscan lo mejor del turismo colombiano)



Facebook
Twitter
Enviar
Linkedin




La mitad de las empresas que figuran en la lista son del sector tecnológico y digital.

Foto:
iStock

Un total de 50 empresas clasificaron en el listado. Aquí le presentamos las diez primeras:

En primer lugar, así como el año pasado, aparece Apple.
Le sigue Alphabet, empresa matriz de Google.
Luego está Amazon, cuyo fundador (Jeff Bezzos) es el hombre más rico del mundo.
En cuarto lugar está Microsoft, otro gigante tecnológico.
Tesla, la empresa del multimillonario Elon Munsk, figura en el quinto lugar. Lo que representa un aumento de seis puestos respecto a 2020.
En el sexto puesto está Samsung, empresa de tecnología surcoreana.
En el séptimo puesto aparece IBM, una multinacional estadounidense que ha enfocado sus servicios en tecnología.
La empresa china Huawei se posicionó en el octavo lugar.
Sony, multinacional japonesa con sede en Tokio, se ubicó en el puesto 9 del 'top'.
 Pfizer, empresa farmacéutica de Estados Unidos y una de las compañías líderes en la vacunación contra covid-19, ocupó el décimo lugar.El listado completo lo puede ver a continuación:         Ver esta publicación en Instagram            Una publicación compartida de Boston Consulting Group (@bcg) (¿Nos visita desde la app de EL TIEMPO? Vea la publicación aquí).El efecto de la pandemia en el entorno empresarialEl análisis de Boston Consulting Group es presentado de forma anual. Sin embargo, la pandemia y la carrera de las farmacéuticas por desarrollar la vacuna contra el coronavirus cambiaron el panorama y, en 2021, la sorpresa vino de la mano de ese sector.Como se lee en la página web de BGC: “al salir del covid-19, las empresas quieren, y necesitan, innovar. Pero muy pocos están preparados para afrontar el desafío”.



Facebook
Twitter
Enviar
Linkedin




La vacuna de Pfizer-BioNTech es una de las que se administran en Colombia.

Foto:
AFP

Es por ello que, además de Pfizer, otras farmacéuticas desarrolladoras de vacunas contra el covid-19 clasificaron en la lista. Es el caso, por ejemplo, de Johnson & Johnson, Moderna y Astrazeneca, ubicadas en los puestos 20, 42 y 49, respectivamente.(Le puede interesar: Conozca cuáles son los grandes desafíos de la economía mundial)Otros hallazgosEl análisis mostró que el 75 % de las empresas citan la innovación como una de sus tres principales prioridades, lo que representa un aumento de 10 puntos porcentuales frente al año pasado.Al respecto, Marcial González, director y colaborador de BCG afirmó que “este es el mayor aumento que hemos evidenciado año tras año desde que BCG realiza este reporte, hace ya 15 años”.También es claro, a la luz del estudio, que las empresas están destinando más recursos a la innovación. Siendo así, en 2021, más del 60 % planea aumentar su inversión y un tercio la impulsará en más del 10 %.Más noticias:

Empresarios extranjeros buscan lo mejor del turismo colombiano
Conozca cuáles son los grandes desafíos de la economía mundial

",El tiempo
9,"
‘Estaciones Primax deben ser puntos de conveniencia’",2021-04-21,"

Con una caída en las ventas de entre 22 y 23 por ciento el año pasado, debido al coronavirus, el negocio de las estaciones de gasolina avanza en su proceso recuperación no solo con mayores inversiones sino con una estrategia de innovación y servicio que les permita borrar el mal momento.Por lo menos, así lo están haciendo en Primax, que este año le está apostando a la innovación con el lanzamiento de una serie de aditivos para combustibles con los que espera seguir fidelizando a sus clientes, dice Yuri Proaño, presidente de la compañía, quien está comprometido con transformar sus estaciones de servicio en verdaderos puntos de conveniencia para los clientes y consumidores del país.(Le puede interesar: Los puntos álgidos que prenden el debate de la reforma tributaria)Con un golpe tan fuerte en 2020, ¿hay espacio para invertir este año?El año pasado el consumo de bienes se vino abajo. Se calcula que las solas ventas de combustibles cayeron entre 22 y 23 por ciento, lo que afectó bastante la industria. Sin embargo, completamos tres años en una estrategia de inversión fuerte y continuaremos así por un par de años más. Para este 2021 invertiremos 120.000 millones de pesos.¿Cómo ve la economía en este 2021?​Somos muy optimistas, vemos que estamos en una etapa de recuperación, por eso avanzando en nuestros planes con temas importantes en innovación, trabajando en productos diferenciados de los que ya hicimos el lanzamiento de uno llamado Max Pro Diésel y para los siguientes meses vienen otras novedades.Estamos poniendo toda nuestra energía porque llegaremos este año a 900 estaciones en toda la red y de esa manera penetrar todo el territorio nacional. El año pasado, logramos nuestra estación 500 con la marca.(Además: Ayudas dirigidas al 40 % de la población buscan atajar la pobreza)Desde el punto de vista financiero esperamos recuperar el ebitda y las utilidades, ya en el primer trimestre estamos logrando los objetivos. Para el cierre del año tendremos un ebitda de 150.00 millones de pesos.

Nuestra estrategia tiene varios pilares para vender producto. En precio nos basamos en uno competitivo según las zonas o corredor para que la gente nos conozca.


FACEBOOK

TWITTER

¿Cómo lograr ese número de estaciones?​El año pasado a pesar de que estuvimos cerrados en varios mercados tuvimos la capacidad de convertir estaciones a Primax. Comenzamos el año con 200 estaciones ‘brandeadas’ a la marca y terminamos con 500 en el que las autoridades locales no daban permiso para trabajar, se hizo un excelente trabajo de coordinación.Es importante precisar que tenemos 500 estaciones Primax, 330 más que están ‘brandeadas’ de otras marcas; lo que vamos a hacer es incluir 70 nuevas estaciones, pero vamos a ‘brandear’ 250 para terminar en 750 estaciones Primax y 150 de otras marcas que representamos. Para el 2022 queremos tener todo con una sola marca.¿Les ha funcionado la estrategia de precios en medio de la pandemia?Nuestra estrategia tiene varios pilares para vender producto. En precio nos basamos en uno competitivo según las zonas o corredor para que la gente nos conozca. Sin embargo, una de las estrategias es la diferenciación, puedo competir con unos productos que son muy masivos o un precio muy competitivo, pero por otro lado ofrecemos productos premium como el Max Pro Diésel que contiene un paquete de aditivos de última generación, con tecnología Greenclean que reduce las emisiones contaminantes del vehículo en 25 por ciento y mejora la potencia del vehículo diésel, entre otros beneficios.(Le recomendamos leer: China registra crecimiento récord en el primer trimestre del 2021)Pronto haremos el lanzamiento de uno para gasolina extra y corriente con altos estándares para que los clientes entiendan que tanquear en Primax les otorga mucho más valor, menores costos y productos de alta calidad.Frente a la transición de combustibles, ¿cuál es el plan?​En Primax tenemos una mentalidad bastante abierta al retail, por eso buscamos que las nuestras estaciones sean más puntos de conveniencia, con muchas facilidades para el consumidor no solo de abastecimiento de un combustible sino de varios tipos, gas, electricidad, entre otros.Tendremos electrolineras, puntos de gas natural y hasta de hidrógeno líquido cuando esto sea una realidad. Pero las personas también necesitan una tienda, un taller para reparación de los vehículos, montallantas, aire, cajeros automáticos, esa es la visión de Primax, que la estación sea un punto de conveniencia y en ese sentido estamos trabajando para que a futuro todas nuestras estaciones ofrezcan este tipo de servicio.(Además: Así están las tasas de empleo después de un año de pandemia)¿Cree que hay espacio para crecer este año?​Nuestra agenda está concentrada en ello y eso se logra con más estaciones, pero también elevando las ventas por cada punto activo, lo que significa que el público nos prefiera por encima de otras marcas. En 2020 pese a la pandemia subimos un punto en la cuota de mercado, esperamos este año avanzar 1,5 puntos más. Todos nuestros planes son para ganar mercado y clientes y que una vez se pasen a Primax se mantengan con nosotros con todo el portafolio, nuestro programa de lealtad, que incluye puntos canjeables en cientos de comercios por consumo de combustibles; los aditivos, atención extraordinaria con personal muy capacitado y garantía de la cantidad y calidad del combustible que se compra que está avalado por el Icontec.También le puede interesar:- Tenga cuidado: estas ofertas en LinkedIn son falsas- Tres de cada diez colombianos son víctimas de fraudes en línea- Consulte si es beneficiario de algún subsidio a través de BancolombiaECONOMÍA Y NEGOCIOS

",El tiempo
